Cars_name,Cars_url,Cars_price,Cars_Brand,Cars_Model,Cars_YOM,Cars_Mileage,Cars_Transmission,Cars_Fuel_Type,Cars_Engine_capacity
Honda Fit Gp5 2013 Car,https://riyasewana.com/buy/honda-fit-gp5-sale-kadawatha-2877184,4125000,Honda,Fit GP5,2013,113000,Automatic,Petrol,1490
Honda Fit Gp5 2014 Car,https://riyasewana.com/buy/honda-fit-gp5-sale-kiribathgoda-2877090,4825000,Honda,FIT GP5,2014,30000,Automatic,Petrol,1490
Honda Fit Gp5 2014 Car,https://riyasewana.com/buy/honda-fit-gp5-sale-ratnapura-2876835,4150000,Honda,FIT GP5,2014,105000,Automatic,Hybrid,1500
Honda Fit Shuttle 2011 Car,https://riyasewana.com/buy/honda-fit-shuttle-sale-katunayake-2876716,3790000,Honda,Fit Shuttle,2011,125000,Automatic,Hybrid,1330
Honda Fit Gp5 2014 Car,https://riyasewana.com/buy/honda-fit-gp5-sale-matara-2876668,4525000,Honda,FIT GP5,2014,38300,Automatic,Hybrid,1500
Honda Fit Gp5 2014 Car,https://riyasewana.com/buy/honda-fit-gp5-sale-kandy-2876564,4535000,Honda,Fit GP5,2014,79000,Automatic,Hybrid,1500
Honda Fit Gp1 Navi Premium 2012 Car,https://riyasewana.com/buy/honda-fit-gp1-sale-kandy-2876461,3785000,Honda,Fit GP1 Navi Premium,2012,77000,Automatic,Hybrid,1300
Honda Fit Gp1 2010 Car,https://riyasewana.com/buy/honda-fit-gp1-sale-negombo-2876352,3495000,Honda,Fit Gp1,2010,91000,Automatic,Hybrid,1330
Honda Fit Shuttle 2012 Car,https://riyasewana.com/buy/honda-fit-shuttle-sale-negombo-2876334,3875000,Honda,Fit Shuttle,2012,98000,Automatic,Hybrid,1330
Honda Fit Gp1 2012 Car,https://riyasewana.com/buy/honda-fit-gp1-sale-negombo-2876330,3775000,Honda,Fit Gp1,2012,83000,Automatic,Hybrid,1330
Honda Fit Shuttle 2013 Car,https://riyasewana.com/buy/honda-fit-shuttle-sale-negombo-2876326,4350000,Honda,Fit Shuttle,2013,90000,Automatic,Hybrid,1330
Honda Fit Shuttle 2012 Car,https://riyasewana.com/buy/honda-fit-shuttle-sale-negombo-2876322,3950000,Honda,Fit Shuttle,2012,89000,Automatic,Hybrid,1330
Honda Fit Shuttle Gp2 2013 Car,https://riyasewana.com/buy/honda-fit-shuttle-sale-kandana-2876287,4260000,Honda,Fit Shuttle Gp2,2013,66000,Automatic,Hybrid,1330
Honda Fit Shuttle Gp2 2013 Car,https://riyasewana.com/buy/honda-fit-shuttle-sale-kalutara-2875266,4315000,Honda,Fit Shuttle GP2,2013,10400,Automatic,Petrol,1330
Honda Fit Gp5 2014 Car,https://riyasewana.com/buy/honda-fit-gp5-sale-gampaha-2875125,4450000,Honda,Fit Gp5,2014,94000,Automatic,Petrol,1500
